WB1,WB2,WB3,WB4,WB5,PB
30,16,41,48,53,16
57,41,50,26,01,11
42,23,59,46,33,04
02,22,63,19,18,19
16,10,52,40,55,17
06,62,32,47,65,19
52,10,61,28,13,02
09,03,33,07,31,20
33,05,42,38,28,19
37,64,17,09,05,02
49,20,42,14,66,05
52,17,16,13,06,25
09,60,64,43,57,10
39,12,49,69,20,17
18,62,66,68,28,22
45,25,23,67,52,02
41,09,58,40,53,12
55,69,23,64,59,13
01,16,13,43,03,24
37,63,12,24,03,10
17,16,42,41,29,04
01,28,03,67,57,09
30,23,44,58,16,04
38,52,42,51,28,21
25,68,40,54,33,03
16,40,08,48,01,10
39,18,66,37,26,15
32,21,12,44,66,15
49,64,48,41,53,20
27,26,33,08,10,22
03,45,25,14,18,07
21,17,37,44,19,16
07,61,41,47,32,03
24,61,43,16,28,21
28,61,63,41,65,07
20,08,27,52,17,24
28,31,54,25,01,02
31,50,69,21,51,08
18,54,61,13,37,05
42,48,20,21,19,23
48,56,02,16,03,24
01,55,33,28,56,22
43,63,16,38,10,23
64,49,57,23,67,20
34,44,30,16,37,16
03,64,68,61,54,09
60,29,18,27,08,15
12,64,50,61,02,01
30,53,62,38,52,01
15,07,29,41,20,22
63,67,01,69,28,17
51,19,09,62,55,14
10,31,23,28,11,14
03,17,49,68,55,08
23,55,33,22,29,21
39,59,07,67,50,25
10,56,24,61,05,12
48,32,63,04,49,20
25,11,09,65,64,16
68,03,21,06,60,24
44,49,33,50,52,08
44,38,64,69,60,06
64,56,61,23,67,12
52,33,47,36,20,12
66,27,11,09,67,02
32,21,17,23,11,05
10,47,68,65,50,24
39,05,35,07,23,11
06,58,66,25,35,05
11,50,40,17,62,26
57,15,29,03,54,10
32,28,10,64,61,12
66,57,02,31,24,18
63,39,59,34,10,04
29,37,23,64,60,06
36,03,56,69,27,25
14,42,43,52,40,17
53,02,23,63,41,11
33,04,24,31,22,10
36,58,27,41,20,07
37,69,12,25,60,20
20,16,43,64,22,17
40,69,33,23,30,12
06,34,33,59,58,12
64,24,59,41,11,15
09,32,05,07,23,26
25,67,39,23,54,11
64,27,65,13,47,09
69,32,52,66,20,23
25,66,44,05,26,09
47,69,30,66,57,03
32,16,03,34,12,14
25,39,64,02,33,17
46,62,59,35,19,13
62,30,12,25,52,08
32,03,25,51,18,03
30,35,38,33,64,22
14,23,41,61,22,09
65,28,49,60,04,25
09,61,28,40,30,03
55,24,63,53,44,19
23,42,68,52,11,06
22,15,49,05,08,25
11,60,23,54,43,03
46,50,12,13,10,21
28,11,50,57,62,23
32,34,14,23,68,03
03,34,27,59,69,19
62,52,13,12,44,06
22,11,53,21,10,18
67,21,65,31,64,05
54,12,11,16,15,25
29,27,07,40,17,25
07,15,36,18,19,20
02,62,40,50,03,05
13,04,36,31,52,08
26,60,67,31,28,23
16,05,12,31,43,18
40,52,03,67,12,21
