DrawDate,WB1,WB2,WB3,WB4,WB5,PB,PP
03/15/2017,30,16,41,48,53,16,3
03/11/2017,57,41,50,26,01,11,2
03/08/2017,42,23,59,46,33,04,2
03/04/2017,02,22,63,19,18,19,3
03/01/2017,16,10,52,40,55,17,10
02/25/2017,06,62,32,47,65,19,2
02/22/2017,52,10,61,28,13,02,2
02/18/2017,09,03,33,07,31,20,3
02/15/2017,33,05,42,38,28,19,2
02/11/2017,37,64,17,09,05,02,2
02/08/2017,49,20,42,14,66,05,2
02/04/2017,52,17,16,13,06,25,3
02/01/2017,09,60,64,43,57,10,2
01/28/2017,39,12,49,69,20,17,2
01/25/2017,18,62,66,68,28,22,2
01/21/2017,45,25,23,67,52,02,2
01/18/2017,41,09,58,40,53,12,2
01/14/2017,55,69,23,64,59,13,5
01/11/2017,01,16,13,43,03,24,2
01/07/2017,37,63,12,24,03,10,2
01/04/2017,17,16,42,41,29,04,3
12/31/2016,01,28,03,67,57,09,2
12/28/2016,30,23,44,58,16,04,2
12/24/2016,38,52,42,51,28,21,2
12/21/2016,25,68,40,54,33,03,5
12/17/2016,16,40,08,48,01,10,2
12/14/2016,39,18,66,37,26,15,3
12/10/2016,32,21,12,44,66,15,2
12/07/2016,49,64,48,41,53,20,2
12/03/2016,27,26,33,08,10,22,2
11/30/2016,03,45,25,14,18,07,2
11/26/2016,21,17,37,44,19,16,2
11/23/2016,07,61,41,47,32,03,2
11/19/2016,24,61,43,16,28,21,2
11/16/2016,28,61,63,41,65,07,2
11/12/2016,20,08,27,52,17,24,2
11/09/2016,28,31,54,25,01,02,2
11/05/2016,31,50,69,21,51,08,3
11/02/2016,18,54,61,13,37,05,2
10/29/2016,42,48,20,21,19,23,3
10/26/2016,48,56,02,16,03,24,2
10/22/2016,01,55,33,28,56,22,2
10/19/2016,43,63,16,38,10,23,2
10/15/2016,64,49,57,23,67,20,2
10/12/2016,34,44,30,16,37,16,2
10/08/2016,03,64,68,61,54,09,2
10/05/2016,60,29,18,27,08,15,2
10/01/2016,12,64,50,61,02,01,2
09/28/2016,30,53,62,38,52,01,3
09/24/2016,15,07,29,41,20,22,2
09/21/2016,63,67,01,69,28,17,4
09/17/2016,51,19,09,62,55,14,4
09/14/2016,10,31,23,28,11,14,2
09/10/2016,03,17,49,68,55,08,2
09/07/2016,23,55,33,22,29,21,2
09/03/2016,39,59,07,67,50,25,3
08/31/2016,10,56,24,61,05,12,2
08/27/2016,48,32,63,04,49,20,2
08/24/2016,25,11,09,65,64,16,3
08/20/2016,68,03,21,06,60,24,2
08/17/2016,44,49,33,50,52,08,3
08/13/2016,44,38,64,69,60,06,2
08/10/2016,64,56,61,23,67,12,5
08/06/2016,52,33,47,36,20,12,3
08/03/2016,66,27,11,09,67,02,3
07/30/2016,32,21,17,23,11,05,2
07/27/2016,10,47,68,65,50,24,2
07/23/2016,39,05,35,07,23,11,2
07/20/2016,06,58,66,25,35,05,2
07/16/2016,11,50,40,17,62,26,2
07/13/2016,57,15,29,03,54,10,3
07/09/2016,32,28,10,64,61,12,3
07/06/2016,66,57,02,31,24,18,3
07/02/2016,63,39,59,34,10,04,2
06/29/2016,29,37,23,64,60,06,2
06/25/2016,36,03,56,69,27,25,2
06/22/2016,14,42,43,52,40,17,3
06/18/2016,53,02,23,63,41,11,2
06/15/2016,33,04,24,31,22,10,2
06/11/2016,36,58,27,41,20,07,2
06/08/2016,37,69,12,25,60,20,3
06/04/2016,20,16,43,64,22,17,2
06/01/2016,40,69,33,23,30,12,5
05/28/2016,06,34,33,59,58,12,2
05/25/2016,64,24,59,41,11,15,3
05/21/2016,09,32,05,07,23,26,4
05/18/2016,25,67,39,23,54,11,3
05/14/2016,64,27,65,13,47,09,3
05/11/2016,69,32,52,66,20,23,3
05/07/2016,25,66,44,05,26,09,2
05/04/2016,47,69,30,66,57,03,3
04/30/2016,32,16,03,34,12,14,3
04/27/2016,25,39,64,02,33,17,2
04/23/2016,46,62,59,35,19,13,5
04/20/2016,62,30,12,25,52,08,3
04/16/2016,32,03,25,51,18,03,2
04/13/2016,30,35,38,33,64,22,3
04/09/2016,14,23,41,61,22,09,3
04/06/2016,65,28,49,60,04,25,2
04/02/2016,09,61,28,40,30,03,2
03/30/2016,55,24,63,53,44,19,2
03/26/2016,23,42,68,52,11,06,3
03/23/2016,22,15,49,05,08,25,3
03/19/2016,11,60,23,54,43,03,3
03/16/2016,46,50,12,13,10,21,3
03/12/2016,28,11,50,57,62,23,2
03/09/2016,32,34,14,23,68,03,3
03/05/2016,03,34,27,59,69,19,2
03/02/2016,62,52,13,12,44,06,2
02/27/2016,22,11,53,21,10,18,3
02/24/2016,67,21,65,31,64,05,3
02/20/2016,54,12,11,16,15,25,5
02/17/2016,29,27,07,40,17,25,2
02/13/2016,07,15,36,18,19,20,2
02/10/2016,02,62,40,50,03,05,2
02/06/2016,13,04,36,31,52,08,3
02/03/2016,26,60,67,31,28,23,3
01/30/2016,16,05,12,31,43,18,4
01/27/2016,40,52,03,67,12,21,2
01/23/2016,32,22,40,69,34,19,4
01/20/2016,44,05,39,69,47,24,5
01/16/2016,61,52,51,64,03,06,2
01/13/2016,08,27,34,04,19,10,2
01/09/2016,32,16,19,57,34,13,3
01/06/2016,47,02,63,62,11,17,3
01/02/2016,42,15,06,05,29,10,2
12/30/2015,12,61,54,38,36,22,3
12/26/2015,65,40,44,59,27,20,2
12/23/2015,67,16,63,38,55,25,4
12/19/2015,30,68,59,41,28,10,2
12/16/2015,09,42,10,55,32,06,2
12/12/2015,62,02,30,19,14,22,2
12/09/2015,16,46,10,56,07,01,2
12/05/2015,47,33,68,27,13,13,2
12/02/2015,14,18,19,64,32,09,2
11/28/2015,47,02,66,67,06,02,3
11/25/2015,53,16,69,58,29,21,2
11/21/2015,37,57,47,50,52,21,3
11/18/2015,40,17,46,69,41,06,2
11/14/2015,66,37,22,14,45,05,3
11/11/2015,26,04,32,55,64,18,3
11/07/2015,50,53,07,16,25,15,2
11/04/2015,12,02,17,20,65,17,4
10/31/2015,09,47,20,25,68,07,2
10/28/2015,56,62,54,63,04,10,2
10/24/2015,20,31,56,64,60,02,3
10/21/2015,57,32,30,42,56,11,4
10/17/2015,57,62,69,49,48,19,3
10/14/2015,20,15,31,40,29,01,2
10/10/2015,27,68,12,43,29,01,2
10/07/2015,52,40,48,18,30,09,3
10/03/2015,33,06,46,44,26,04,2
09/30/2015,40,59,21,39,55,17,3
09/26/2015,23,57,42,31,50,05,3
09/23/2015,08,29,51,58,41,05,2
09/19/2015,12,43,17,26,48,24,2
09/16/2015,07,05,39,24,31,07,3
09/12/2015,35,03,16,02,13,27,3
09/09/2015,50,44,45,51,47,08,2
09/05/2015,29,10,18,16,45,19,2
09/02/2015,17,46,22,30,56,16,3
08/29/2015,25,18,29,21,28,16,2
08/26/2015,22,56,02,45,32,12,5
08/22/2015,12,14,21,04,55,07,4
08/19/2015,06,43,48,50,08,07,2
08/15/2015,03,17,13,52,42,24,4
08/12/2015,29,38,08,13,52,28,2
08/08/2015,34,48,54,52,09,15,4
08/05/2015,42,14,09,16,11,19,2
08/01/2015,13,07,49,24,57,15,3
07/29/2015,04,52,22,27,28,35,3
07/25/2015,27,44,41,29,34,02,3
07/22/2015,31,12,57,44,43,11,2
07/18/2015,39,06,37,45,55,33,3
07/15/2015,45,34,13,50,16,11,2
07/11/2015,46,39,52,11,54,03,2
07/08/2015,30,27,25,15,04,18,3
07/04/2015,24,18,06,03,14,21,3
07/01/2015,24,41,31,26,07,25,2
06/27/2015,35,18,46,49,28,27,5
06/24/2015,05,10,03,22,32,07,4
06/20/2015,20,16,10,57,09,15,2
06/17/2015,22,20,21,54,41,07,3
06/13/2015,41,29,52,54,48,29,2
06/10/2015,49,32,31,53,48,25,2
06/06/2015,18,43,13,08,27,15,4
06/03/2015,06,40,37,13,08,11,2
05/30/2015,57,25,08,56,09,22,2
05/27/2015,08,15,59,34,53,23,2
05/23/2015,31,09,43,17,15,16,4
05/20/2015,12,01,44,28,35,25,3
05/16/2015,48,24,38,52,29,32,2
05/13/2015,31,29,01,47,25,07,3
05/09/2015,58,04,17,35,15,17,3
05/06/2015,24,41,39,23,27,30,5
05/02/2015,02,31,06,11,30,33,3
04/29/2015,26,01,38,34,51,06,3
04/25/2015,45,21,35,33,38,12,2
04/22/2015,25,10,14,39,53,18,2
04/18/2015,31,22,13,23,29,17,3
04/15/2015,01,21,29,16,40,30,3
04/11/2015,58,01,32,42,12,12,2
04/08/2015,01,19,45,58,46,29,2
04/04/2015,41,33,39,54,40,28,3
04/01/2015,44,39,30,33,02,01,3
03/28/2015,38,02,12,04,06,17,3
03/25/2015,54,23,19,07,50,14,2
03/21/2015,30,38,16,11,42,07,4
03/18/2015,30,47,33,25,14,08,2
03/14/2015,46,47,08,14,39,18,2
03/11/2015,24,44,31,11,40,27,2
03/07/2015,50,42,36,38,34,33,4
03/04/2015,08,35,15,12,50,32,2
02/28/2015,25,28,11,17,46,12,2
02/25/2015,39,17,21,32,19,08,3
02/21/2015,18,51,14,34,10,26,2
02/18/2015,29,01,49,09,32,22,2
02/14/2015,44,45,01,24,51,28,2
02/11/2015,25,11,54,13,39,19,3
02/07/2015,34,58,05,21,10,33,5
02/04/2015,51,52,36,24,56,22,2
01/31/2015,16,05,50,11,26,34,2
01/28/2015,49,24,12,36,35,01,5
01/24/2015,19,16,20,33,29,10,2
01/21/2015,57,12,28,15,11,23,4
01/17/2015,15,27,23,36,16,09,2
01/14/2015,10,04,53,02,41,22,5
01/10/2015,19,09,29,02,28,19,5
01/07/2015,47,49,59,15,14,10,2
01/03/2015,04,43,46,55,18,25,3
12/31/2014,40,27,17,53,37,35,2
12/27/2014,36,14,10,11,07,15,2
12/24/2014,46,11,12,47,50,22,4
12/20/2014,19,15,56,31,14,05,5
12/17/2014,47,31,48,38,22,15,3
12/13/2014,05,13,43,55,28,33,3
12/10/2014,48,34,55,44,54,10,2
12/06/2014,43,22,49,15,12,14,2
12/03/2014,54,30,32,46,25,26,3
11/29/2014,13,30,24,42,48,27,2
11/26/2014,46,17,22,16,54,35,5
11/22/2014,54,53,23,57,49,35,2
11/19/2014,38,06,36,48,51,17,2
11/15/2014,35,16,33,51,13,28,2
11/12/2014,55,37,39,52,51,11,3
11/08/2014,09,33,19,38,54,15,3
11/05/2014,19,02,11,21,42,34,3
11/01/2014,01,38,25,13,03,17,2
10/29/2014,48,28,59,25,57,16,3
10/25/2014,54,57,51,06,10,12,2
10/22/2014,40,42,30,29,50,16,2
10/18/2014,36,20,54,27,26,19,2
10/15/2014,05,07,28,27,19,20,2
10/11/2014,37,39,38,19,10,28,2
10/08/2014,46,50,16,31,05,18,3
10/04/2014,13,33,18,24,25,31,2
10/01/2014,20,01,45,18,04,07,2
09/27/2014,54,11,52,35,02,13,3
09/24/2014,07,14,24,41,21,26,4
09/20/2014,23,22,30,39,37,16,4
09/17/2014,36,18,25,50,48,23,2
09/13/2014,37,06,01,53,16,27,3
09/10/2014,14,39,02,40,43,13,5
09/06/2014,29,43,31,50,09,18,2
09/03/2014,43,02,51,45,16,35,3
08/30/2014,05,52,28,59,31,27,2
08/27/2014,24,17,45,46,26,19,3
08/23/2014,52,28,36,32,35,31,3
08/20/2014,21,40,08,38,04,03,2
08/16/2014,07,08,17,59,48,09,2
08/13/2014,37,08,40,52,39,24,2
08/09/2014,34,12,31,51,03,24,2
08/06/2014,49,01,08,24,28,24,5
08/02/2014,12,46,44,47,26,29,2
07/30/2014,49,13,30,53,42,29,3
07/26/2014,38,39,28,24,30,16,2
07/23/2014,22,12,04,31,10,03,5
07/19/2014,10,53,17,25,45,09,2
07/16/2014,05,32,26,18,15,35,3
07/12/2014,23,07,02,03,51,26,2
07/09/2014,09,55,42,25,57,14,2
07/05/2014,34,58,24,36,57,11,4
07/02/2014,58,18,53,08,45,35,2
06/28/2014,56,08,12,43,34,09,2
06/25/2014,50,53,10,20,25,35,4
06/21/2014,41,06,54,05,37,26,3
06/18/2014,06,52,59,29,09,07,3
06/14/2014,33,54,42,09,45,30,3
06/11/2014,14,25,33,18,49,23,5
06/07/2014,58,30,35,28,59,15,2
06/04/2014,22,07,01,10,49,24,3
05/31/2014,34,15,48,27,31,01,2
05/28/2014,24,02,28,32,59,25,3
05/24/2014,55,15,49,16,28,18,2
05/21/2014,20,34,58,04,39,31,5
05/17/2014,32,23,47,39,49,22,3
05/14/2014,55,07,52,33,39,33,3
05/10/2014,41,47,55,31,04,01,2
05/07/2014,48,31,17,49,29,34,2
05/03/2014,15,05,46,49,16,26,4
04/30/2014,09,02,19,50,11,32,3
04/26/2014,30,03,22,07,33,20,3
04/23/2014,29,48,36,19,25,12,4
04/19/2014,35,06,51,05,29,21,5
04/16/2014,42,34,59,39,44,08,3
04/12/2014,26,45,14,55,54,20,2
04/09/2014,49,14,48,09,44,29,2
04/05/2014,26,11,21,34,33,29,5
04/02/2014,19,22,13,53,08,24,2
03/29/2014,03,12,27,38,02,17,2
03/26/2014,33,41,59,44,28,21,2
03/22/2014,55,13,28,58,31,15,2
03/19/2014,34,23,43,19,02,14,2
03/15/2014,34,05,51,02,58,09,4
03/12/2014,28,54,14,15,37,10,2
